orp,ph,fc
507,6.9,0.2
561,6.9,0.3
599,6.9,0.4
629,6.9,0.5
652,6.9,0.6
663,6.9,0.65
673,6.9,0.67
682,6.9,0.75
690,6.9,0.8
698,6.9,0.85
706,6.9,0.9
713,6.9,0.95
720,6.9,1.0
733,6.9,1.1
744,6.9,1.2
755,6.9,1.3
765,6.9,1.4
774,6.9,1.5
790,6.9,1.7
798,6.9,1.8
812,6.9,2.0
824,6.9,2.2
841,6.9,2.5
505,7.0,0.2
558,7.0,0.3
596,7.0,0.4
625,7.0,0.5
648,7.0,0.6
658,7.0,0.65
669,7.0,0.67
677,7.0,0.75
686,7.0,0.8
694,7.0,0.85
702,7.0,0.9
708,7.0,0.95
715,7.0,1.0
727,7.0,1.1
739,7.0,1.2
749,7.0,1.3
759,7.0,1.4
768,7.0,1.5
784,7.0,1.7
792,7.0,1.8
805,7.0,2.0
818,7.0,2.2
834,7.0,2.5
502,7.2,0.2
553,7.2,0.3
590,7.2,0.4
618,7.2,0.5
640,7.2,0.6
650,7.2,0.65
660,7.2,0.67
668,7.2,0.75
677,7.2,0.8
684,7.2,0.85
692,7.2,0.9
698,7.2,0.95
705,7.2,1.0
717,7.2,1.1
728,7.2,1.2
738,7.2,1.3
747,7.2,1.4
756,7.2,1.5
771,7.2,1.7
779,7.2,1.8
792,7.2,2.0
804,7.2,2.2
826,7.2,2.5
500,7.3,0.2
550,7.3,0.3
586,7.3,0.4
615,7.3,0.5
637,7.3,0.6
646,7.3,0.65
656,7.3,0.67
664,7.3,0.75
672,7.3,0.8
680,7.3,0.85
687,7.3,0.9
694,7.3,0.95
700,7.3,1.0
712,7.3,1.1
722,7.3,1.2
732,7.3,1.3
742,7.3,1.4
750,7.3,1.5
765,7.3,1.7
773,7.3,1.8
785,7.3,2.0
797,7.3,2.2
813,7.3,2.5
499,7.4,0.2
548,7.4,0.3
583,7.4,0.4
611,7.4,0.5
632,7.4,0.6
642,7.4,0.65
651,7.4,0.67
660,7.4,0.75
668,7.4,0.8
675,7.4,0.85
682,7.4,0.9
689,7.4,0.95
695,7.4,1.0
707,7.4,1.1
717,7.4,1.2
727,7.4,1.3
736,7.4,1.4
744,7.4,1.5
759,7.4,1.7
766,7.4,1.8
779,7.4,2.0
781,7.4,2.2
806,7.4,2.5
497,7.5,0.2
546,7.5,0.3
580,7.5,0.4
607,7.5,0.5
629,7.5,0.6
638,7.5,0.65
647,7.5,0.67
655,7.5,0.75
663,7.5,0.8
670,7.5,0.85
677,7.5,0.9
684,7.5,0.95
690,7.5,1.0
701,7.5,1.1
712,7.5,1.2
721,7.5,1.3
730,7.5,1.4
738,7.5,1.5
753,7.5,1.7
760,7.5,1.8
773,7.5,2.0
784,7.5,2.2
800,7.5,2.5
496,7.6,0.2
544,7.6,0.3
577,7.6,0.4
604,7.6,0.5
625,7.6,0.6
634,7.6,0.65
643,7.6,0.67
651,7.6,0.75
659,7.6,0.8
666,7.6,0.85
673,7.6,0.9
679,7.6,0.95
685,7.6,1.0
696,7.6,1.1
706,7.6,1.2
716,7.6,1.3
724,7.6,1.4
732,7.6,1.5
747,7.6,1.7
754,7.6,1.8
766,7.6,2.0
777,7.6,2.2
792,7.6,2.5
494,7.7,0.2
541,7.7,0.3
574,7.7,0.4
600,7.7,0.5
621,7.7,0.6
630,7.7,0.65
639,7.7,0.67
647,7.7,0.75
654,7.7,0.8
661,7.7,0.85
668,7.7,0.9
674,7.7,0.95
680,7.7,1.0
691,7.7,1.1
701,7.7,1.2
710,7.7,1.3
719,7.7,1.4
727,7.7,1.5
741,7.7,1.7
748,7.7,1.8
760,7.7,2.0
771,7.7,2.2
785,7.7,2.5
493,7.8,0.2
539,7.8,0.3
571,7.8,0.4
597,7.8,0.5
617,7.8,0.6
626,7.8,0.65
635,7.8,0.67
642,7.8,0.75
650,7.8,0.8
657,7.8,0.85
663,7.8,0.9
669,7.8,0.95
675,7.8,1.0
686,7.8,1.1
695,7.8,1.2
705,7.8,1.3
713,7.8,1.4
721,7.8,1.5
735,7.8,1.7
741,7.8,1.8
753,7.8,2.0
764,7.8,2.2
771,7.8,2.5
491,7.9,0.2
536,7.9,0.3
568,7.9,0.4
593,7.9,0.5
613,7.9,0.6
622,7.9,0.65
630,7.9,0.67
638,7.9,0.75
645,7.9,0.8
652,7.9,0.85
658,7.9,0.9
664,7.9,0.95
670,7.9,1.0
680,7.9,1.1
690,7.9,1.2
699,7.9,1.3
707,7.9,1.4
715,7.9,1.5
728,7.9,1.7
735,7.9,1.8
747,7.9,2.0
757,7.9,2.2
771,7.9,2.5
490,8.0,0.2
534,8.0,0.3
565,8.0,0.4
590,8.0,0.5
610,8.0,0.6
618,8.0,0.65
626,8.0,0.67
634,8.0,0.75
641,8.0,0.8
647,8.0,0.85
654,8.0,0.9
659,8.0,0.95
665,8.0,1.0
675,8.0,1.1
685,8.0,1.2
694,8.0,1.3
702,8.0,1.4
709,8.0,1.5
722,8.0,1.7
729,8.0,1.8
740,8.0,2.0
751,8.0,2.2
764,8.0,2.5
488,8.1,0.2
532,8.1,0.3
562,8.1,0.4
586,8.1,0.5
605,8.1,0.6
614,8.1,0.65
622,8.1,0.67
629,8.1,0.75
636,8.1,0.8
643,8.1,0.85
649,8.1,0.9
654,8.1,0.95
660,8.1,1.0
670,8.1,1.1
679,8.1,1.2
688,8.1,1.3
696,8.1,1.4
703,8.1,1.5
716,8.1,1.7
722,8.1,1.8
734,8.1,2.0
744,8.1,2.2
757,8.1,2.5
487,8.2,0.2
529,8.2,0.3
559,8.2,0.4
583,8.2,0.5
602,8.2,0.6
610,8.2,0.65
618,8.2,0.67
625,8.2,0.75
632,8.2,0.8
638,8.2,0.85
644,8.2,0.9
650,8.2,0.95
655,8.2,1.0
665,8.2,1.1
674,8.2,1.2
682,8.2,1.3
690,8.2,1.4
697,8.2,1.5
710,8.2,1.7
716,8.2,1.8
727,8.2,2.0
737,8.2,2.2
751,8.2,2.5
